# Field cost, task #61 part B. Seed 0, the production session in the game window, player idle at pole.
# Intel(R) Core(TM) i7-10510U CPU @ 1.80GHz; renderer Mesa Intel(R) UHD Graphics (CML GT2); load average at start 1.69 1.94 1.80 3/3970 2382861
# physics 60 ticks/s at time scale 1.0; vsync 0 (0 = off); max_fps 0

## Per physics tick and per frame, microseconds: mean / p95 / max
| Rivals | Sensing | Decisions | Physics tick | Frame with a tick | Frame without | Render CPU ms | Render GPU ms |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 0 | 0 / 0 / 0 | 0 / 0 / 0 | 57 / 74 / 177 | 1972 / 2609 / 6982 | 1762 / 2307 / 8987 | 0.612 | 1.133 |
| 1 | 278 / 396 / 663 | 59 / 80 / 168 | 399 / 552 / 861 | 2504 / 3295 / 7838 | 1868 / 2436 / 8815 | 0.626 | 1.218 |
| 5 | 1166 / 1644 / 2418 | 188 / 260 / 397 | 1447 / 2005 / 4251 | 3937 / 5179 / 8267 | 2002 / 2561 / 11475 | 0.633 | 1.351 |
| 10 | 2213 / 3100 / 5311 | 322 / 456 / 960 | 2663 / 3679 / 6525 | 5575 / 7271 / 13224 | 2139 / 2713 / 7511 | 0.660 | 1.463 |
| 20 | 4303 / 5226 / 7955 | 580 / 765 / 1188 | 5054 / 6018 / 9112 | 8796 / 10525 / 15902 | 2433 / 2992 / 9641 | 0.719 | 1.515 |

## Per-car marginal cost of the mean, microseconds per added rival, between consecutive counts
| From | To | Sensing | Decisions | Physics tick | Frame with a tick |
| --- | --- | --- | --- | --- | --- |
| 0 | 1 | 277.5 | 59.0 | 342.7 | 532.0 |
| 1 | 5 | 222.2 | 32.3 | 261.9 | 358.4 |
| 5 | 10 | 209.4 | 26.6 | 243.1 | 327.5 |
| 10 | 20 | 208.9 | 25.8 | 239.1 | 322.1 |

## Budget at 20 rivals: frame with a tick mean 8.80 ms, p95 10.53 ms, max 15.90 ms against 16.6 ms: headroom at p95 6.08 ms

## Height and surface queries across the field, sped up (600 ticks/s at time scale 10), over 1200 ticks from the start
# a timing wrapper's own cost, measured around the base query's empty sample_at: 1.38 us per call, included in every figure below
| Rivals | Asked by | Query | Calls per tick | us per tick | us per call |
| --- | --- | --- | --- | --- | --- |
| 1 | car | height.sample_at | 4.0 | 59 | 14.76 |
| 1 | car | surface.sample_at | 2.0 | 78 | 39.11 |
| 1 | sensing | height.sample_at | 2.0 | 24 | 11.88 |
| 1 | sensing | surface.road_frame_at | 2.0 | 166 | 82.84 |
| 1 | sensing | surface.sample_at | 1.0 | 27 | 27.32 |
| 5 | car | height.sample_at | 12.0 | 103 | 8.55 |
| 5 | car | surface.sample_at | 6.0 | 147 | 24.45 |
| 5 | sensing | height.sample_at | 10.0 | 113 | 11.32 |
| 5 | sensing | surface.road_frame_at | 10.0 | 615 | 61.52 |
| 5 | sensing | surface.sample_at | 5.0 | 105 | 21.09 |
| 10 | car | height.sample_at | 22.0 | 167 | 7.59 |
| 10 | car | surface.sample_at | 11.0 | 252 | 22.90 |
| 10 | sensing | height.sample_at | 20.0 | 211 | 10.55 |
| 10 | sensing | surface.road_frame_at | 20.0 | 1153 | 57.71 |
| 10 | sensing | surface.sample_at | 10.0 | 202 | 20.23 |
| 20 | car | height.sample_at | 42.0 | 319 | 7.59 |
| 20 | car | surface.sample_at | 21.0 | 503 | 23.96 |
| 20 | sensing | height.sample_at | 40.0 | 450 | 11.26 |
| 20 | sensing | surface.road_frame_at | 40.0 | 2504 | 62.66 |
| 20 | sensing | surface.sample_at | 20.0 | 431 | 21.56 |
# load average at end 1.64 1.59 1.59 2/4013 2420544
